"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 11:56:56 WAT 2023","Fri Aug 11 11:56:56 WAT 2023","281","Transactional","Templates","","","","Returns the template information",""
"failed","Fri Aug 11 11:56:36 WAT 2023","Fri Aug 11 11:56:37 WAT 2023","895","Contact management","Contacts","","","","Export contacts",""
"passed","Fri Aug 11 11:56:56 WAT 2023","Fri Aug 11 11:56:56 WAT 2023","264","Transactional","Templates","","","","Update an email template",""
"failed","Fri Aug 11 11:56:19 WAT 2023","Fri Aug 11 11:56:20 WAT 2023","319","Sales CRM","Files","","","","Get file details",""
"failed","Fri Aug 11 11:56:34 WAT 2023","Fri Aug 11 11:56:35 WAT 2023","925","Conversations","Pushed messages","","","","Delete an automated message",""
"passed","Fri Aug 11 11:56:50 WAT 2023","Fri Aug 11 11:56:50 WAT 2023","276","Contact management","Lists","","","","Delete a list",""
"failed","Fri Aug 11 11:56:12 WAT 2023","Fri Aug 11 11:56:12 WAT 2023","311","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Fri Aug 11 11:57:09 WAT 2023","Fri Aug 11 11:57:09 WAT 2023","298","Account","Reseller","IP management","","","Dissociate a dedicated IP to the child",""
"failed","Fri Aug 11 11:56:09 WAT 2023","Fri Aug 11 11:56:10 WAT 2023","271","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"failed","Fri Aug 11 11:56:22 WAT 2023","Fri Aug 11 11:56:23 WAT 2023","293","Marketing","Email Campaigns","","","","Get a shared template url",""
"passed","Fri Aug 11 11:56:27 WAT 2023","Fri Aug 11 11:56:28 WAT 2023","283","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"passed","Fri Aug 11 11:56:55 WAT 2023","Fri Aug 11 11:56:56 WAT 2023","554","Transactional","Templates","","","","Create an email template",""
"passed","Fri Aug 11 11:56:43 WAT 2023","Fri Aug 11 11:56:44 WAT 2023","1030","Contact management","Folders","","","","Create a folder",""
"failed","Fri Aug 11 11:56:31 WAT 2023","Fri Aug 11 11:56:32 WAT 2023","1086","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Fri Aug 11 11:57:04 WAT 2023","Fri Aug 11 11:57:04 WAT 2023","264","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"failed","Fri Aug 11 11:56:16 WAT 2023","Fri Aug 11 11:56:16 WAT 2023","305","Sales CRM","Notes","","","","Get all notes",""
"failed","Fri Aug 11 11:56:16 WAT 2023","Fri Aug 11 11:56:16 WAT 2023","245","Sales CRM","Tasks","","","","Delete a task",""
"failed","Fri Aug 11 11:56:39 WAT 2023","Fri Aug 11 11:56:39 WAT 2023","605","Contact management","Contacts","","","","Delete a contact",""
"failed","Fri Aug 11 11:56:40 WAT 2023","Fri Aug 11 11:56:41 WAT 2023","1507","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"failed","Fri Aug 11 11:56:22 WAT 2023","Fri Aug 11 11:56:22 WAT 2023","325","Marketing","Email Campaigns","","","","Get an A/B test email campaign results",""
"failed","Fri Aug 11 11:56:18 WAT 2023","Fri Aug 11 11:56:19 WAT 2023","294","Sales CRM","Files","","","","Upload a file",""
"passed","Fri Aug 11 11:56:14 WAT 2023","Fri Aug 11 11:56:14 WAT 2023","246","Sales CRM","Deals","","","","Update a deal",""
"failed","Fri Aug 11 11:56:21 WAT 2023","Fri Aug 11 11:56:21 WAT 2023","283","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Fri Aug 11 11:56:49 WAT 2023","Fri Aug 11 11:56:50 WAT 2023","274","Contact management","Lists","","","","Update a list",""
"failed","Fri Aug 11 11:56:25 WAT 2023","Fri Aug 11 11:56:25 WAT 2023","262","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"failed","Fri Aug 11 11:56:54 WAT 2023","Fri Aug 11 11:56:54 WAT 2023","625","Transactional","Email API","","","","Get the personalized content of a sent transactional email",""
"passed","Fri Aug 11 11:57:07 WAT 2023","Fri Aug 11 11:57:07 WAT 2023","249","Account","Webhooks","","","","Update a webhook",""
"failed","Fri Aug 11 11:56:18 WAT 2023","Fri Aug 11 11:56:18 WAT 2023","359","Sales CRM","Files","","","","Get all files",""
"passed","Fri Aug 11 11:56:35 WAT 2023","Fri Aug 11 11:56:35 WAT 2023","521","Contact management","Contacts","","","","Get all the contacts",""
"passed","Fri Aug 11 11:57:00 WAT 2023","Fri Aug 11 11:57:01 WAT 2023","830","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"failed","Fri Aug 11 11:56:53 WAT 2023","Fri Aug 11 11:56:54 WAT 2023","1036","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"failed","Fri Aug 11 11:56:30 WAT 2023","Fri Aug 11 11:56:31 WAT 2023","1101","Conversations","Messages","","","","Update a message sent by an agent",""
"failed","Fri Aug 11 11:56:21 WAT 2023","Fri Aug 11 11:56:21 WAT 2023","278","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"passed","Fri Aug 11 11:57:03 WAT 2023","Fri Aug 11 11:57:03 WAT 2023","335","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Fri Aug 11 11:57:01 WAT 2023","Fri Aug 11 11:57:01 WAT 2023","280","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Fri Aug 11 11:56:33 WAT 2023","Fri Aug 11 11:56:33 WAT 2023","277","Conversations","Pushed messages","","","","Get an automated message",""
"failed","Fri Aug 11 11:56:09 WAT 2023","Fri Aug 11 11:56:09 WAT 2023","346","Sales CRM","Companies","","","","Get company attributes",""
"passed","Fri Aug 11 11:56:23 WAT 2023","Fri Aug 11 11:56:23 WAT 2023","256","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"failed","Fri Aug 11 11:56:48 WAT 2023","Fri Aug 11 11:56:49 WAT 2023","677","Contact management","Lists","","","","Delete a contact from a list",""
"passed","Fri Aug 11 11:56:23 WAT 2023","Fri Aug 11 11:56:24 WAT 2023","322","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Fri Aug 11 11:57:07 WAT 2023","Fri Aug 11 11:57:08 WAT 2023","364","Account","Webhooks","","","","Delete a webhook",""
"failed","Fri Aug 11 11:56:10 WAT 2023","Fri Aug 11 11:56:10 WAT 2023","306","Sales CRM","Companies","","","","Delete a company",""
"passed","Fri Aug 11 11:57:01 WAT 2023","Fri Aug 11 11:57:01 WAT 2023","294","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Fri Aug 11 11:57:08 WAT 2023","Fri Aug 11 11:57:09 WAT 2023","520","Account","Reseller","Credits","","","Remove Email and/or SMS credits from a specific child account",""
"passed","Fri Aug 11 11:56:24 WAT 2023","Fri Aug 11 11:56:24 WAT 2023","294","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Fri Aug 11 11:57:06 WAT 2023","Fri Aug 11 11:57:06 WAT 2023","762","Account","Webhooks","","","","Create a webhook",""
"failed","Fri Aug 11 11:56:11 WAT 2023","Fri Aug 11 11:56:12 WAT 2023","420","Sales CRM","Deals","","","","Get all deals",""
"passed","Fri Aug 11 11:56:14 WAT 2023","Fri Aug 11 11:56:14 WAT 2023","252","Sales CRM","Deals","","","","Delete a deal",""
"failed","Fri Aug 11 11:56:11 WAT 2023","Fri Aug 11 11:56:11 WAT 2023","286","Sales CRM","Companies","","","","Update a company",""
"failed","Fri Aug 11 11:56:52 WAT 2023","Fri Aug 11 11:56:53 WAT 2023","707","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"failed","Fri Aug 11 11:56:18 WAT 2023","Fri Aug 11 11:56:18 WAT 2023","285","Sales CRM","Notes","","","","Delete a note",""
